audio_url,english,ayajuthem,speaker,narrator_text
https://fv-media-uploads.s3.amazonaws.com/homalco/d13de480-f3e4-4054-868f-9bbd1c78e8a5/how-are-you%3F.mp3,How are you,aj??cx?ot,Speaker A,Listen to how we say hello to a friend.
https://fv-media-uploads.s3.amazonaws.com/homalco/51a83aa2-51ed-4f8e-84fd-abf8d5a3102a/thank%20you%20mp3.mp3,Good,?imot,Speaker B,Now practice saying you are good.
