type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
,assets\audio\ch5\56-o_go.mp3,,go,ho,Lorraine,
,assets\audio\ch5\57-l_go.mp3,,go,ho,Keeks,
,assets\audio\ch5\58-m_want.mp3,,want,χaƛ̓,Mabel,
,assets\audio\ch5\59-o_want.mp3,,want,χaƛ̓,Lorraine,
,assets\audio\ch5\60-l_want.mp3,,want,χaƛ̓,Keeks,
,assets\audio\ch5\62-o_do_you_want.mp3,,do you want,θ χaƛ̓a,Lorraine,
,assets\audio\ch5\63-l_do_you_want.mp3,,do you want,θ χaƛ̓a,Keeks,
,assets\audio\ch5\64-m_come along.mp3,,come along,qʷaga qamɛn,Mabel,
,assets\audio\ch5\65-0_come along.mp3,,come along,qʷaga qamɛn,Mabel,
,assets\audio\ch5\66-k_come along.mp3,,come along,qʷaga qamɛn,Mabel,
,assets\audio\ch5\67-m_yes.mp3,,yes,ʔɛ,Mabel,
,assets\audio\ch5\69-l_yes.mp3,,yes,ʔɛ,Keeks,
,assets\audio\ch5\72-l_I.mp3,,I,čɩn,Keeks,
,assets\audio\ch5\73-m_I'm going to come along.mp3,,I'm going to come along,hotᶿəm qamɛn,Mabel,
,assets\audio\ch5\74-o_I'm going to come along.mp3,,I'm going to come along,hotᶿəm qamɛn,Lorraine,
,assets\audio\ch5\75-l_I'm going to come along.mp3,,I'm going to come along,hotᶿəm qamɛn,Keeks,
,assets\audio\ch5\76-m_what will you watch.mp3,,what will you watch,təmsəm ǰɛqənʊxʷ,Mabel,
,assets\audio\ch5\77-o_what will you watch.mp3,,what will you watch,təmsəm ǰɛqənʊxʷ,Lorraine,
,assets\audio\ch5\78-l_what will you watch.mp3,,what will you watch,təmsəm ǰɛqənʊxʷ,Keeks,
,assets\audio\ch5\79-m_leave it alone.mp3,,leave it alone,,Mabel,
,assets\audio\ch5\80-o_leave it alone.mp3,,leave it alone,,Lorraine,
,assets\audio\ch5\81-l_leave it alone.mp3,,leave it alone,,Keeks,
,assets\audio\ch5\82-m_smoke.mp3,,smoke,,Mabel,
,assets\audio\ch5\83-l_smoke.mp3,,smoke,,Keeks,
,assets\audio\ch5\84-m_grizzly bear.mp3,,grizzly bear,,Mabel,
,assets\audio\ch5\85-o_grizzly bear.mp3,,grizzly bear,,Lorraine,
,assets\audio\ch5\86-k_grizzly bear.mp3,,grizzly bear,,Mabel,
,assets\audio\ch5\87-m_tumish.mp3,,tumish,,Mabel,
,assets\audio\ch5\88-o_tumish.mp3,,tumish,,Lorraine,
,assets\audio\ch5\89-l_tumish.mp3,,tumish,,Keeks,
,assets\audio\ch5\90-m_to snow.mp3,,to snow,,Mabel,
,assets\audio\ch5\91-o_to snow.mp3,,to snow,,Lorraine,
,assets\audio\ch5\92-l_to snow.mp3,,to snow,,Keeks,
,assets\audio\ch5\93-m_it's snowing.mp3,,it's snowing,,Mabel,
,assets\audio\ch5\94-o_it's snowing.mp3,,it's snowing,,Lorraine,
,assets\audio\ch5\95-l_it's snowing.mp3,,it's snowing,,Keeks,
,assets\audio\ch5\96-m_river.mp3,,river,,Mabel,
,assets\audio\ch5\97-o_river.mp3,,river,,Lorraine,
,assets\audio\ch5\98-l_river.mp3,,river,,Keeks,
,assets\audio\ch5\99-m_cat.mp3,,cat,,Mabel,
,assets\audio\ch5\100-o_cat.mp3,,cat,,Lorraine,
,assets\audio\ch5\101-l_cat.mp3,,cat,,Keeks,
,assets\audio\ch5\102-m_orca.mp3,,orca,,Mabel,
,assets\audio\ch5\103-o_orca.mp3,,orca,,Lorraine,
,assets\audio\ch5\104-l_orca .mp3,,orca ,,Keeks,
,assets\audio\ch5\105-m_to ride.mp3,,to ride,,Mabel,
,assets\audio\ch5\106-o_to ride.mp3,,to ride,,Lorraine,
,assets\audio\ch5\107-l_to ride.mp3,,to ride,,Keeks,
,assets\audio\ch5\108-m_wind.mp3,,wind,,Mabel,
,assets\audio\ch5\109-o_wind.mp3,,wind,,Lorraine,
,assets\audio\ch5\110-l_wind.mp3,,wind,,Keeks,
,assets\audio\ch5\111-m_dance.mp3,,dance,,Mabel,
,assets\audio\ch5\112-o_dance.mp3,,dance,,Lorraine,
,assets\audio\ch5\113-l_dance.mp3,,dance,,Keeks,
,assets\audio\ch5\114-m_wolf.mp3,,wolf,,Mabel,
,assets\audio\ch5\115-o_wolf.mp3,,wolf,,Lorraine,
,assets\audio\ch5\116-l_wolf.mp3,,wolf,,Keeks,
,assets\audio\ch5\117-m_horse.mp3,,horse,,Mabel,
,assets\audio\ch5\118-o_horse.mp3,,horse,,Lorraine,
,assets\audio\ch5\119-l_horse.mp3,,horse,,Keeks,
,assets\audio\ch5\120-m_whisper.mp3,,whisper,,Mabel,
,assets\audio\ch5\121-o_whisper.mp3,,whisper,,Lorraine,
,assets\audio\ch5\122-l_whisper.mp3,,whisper,,Keeks,
