type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
,assets\audio\ch25-christmas\36-k_tree.mp3,,tree,ǰɛʔǰɛ,Keeks,
,assets\audio\ch25-christmas\42-k_we went to buy a small tree.mp3,,we went to buy a small tree,hoɬst yɛq̓aʔmoɬ kʷ ǰɛʔǰɩǰɛʔ,Keeks,
,assets\audio\ch25-christmas\44-l_to_buy.mp3,,to buy,yɛq̓əm,Lorraine,
,assets\audio\ch25-christmas\45-k_to buy.mp3,,to buy,yɛq̓əm,Keeks,
,assets\audio\ch25-christmas\46-mab_we went to chop down a small tree.mp3,,we went to chop down a small tree,host sopənæčɛyamoɬ kʷ ǰɛʔǰɩǰɛʔ,Mabel,
,assets\audio\ch25-christmas\53-l_our little tree.mp3,,our little tree,təms ǰɛʔǰɩǰɛʔ,Lorraine,
,assets\audio\ch25-christmas\47-l_we went to chop down a small tree.mp3,,we went to chop down a small tree,host sopənæčɛyamoɬ kʷ ǰɛʔǰɩǰɛʔ,Lorraine,
,assets\audio\ch25-christmas\48-k__we went to chop down a small tree.mp3,,we went to chop down a small tree,host sopənæčɛyamoɬ kʷ ǰɛʔǰɩǰɛʔ,Keeks,
,assets\audio\ch25-christmas\50-l_we are going to decorate.mp3,,we are going to decorate,xʷʊčʔɛstəm,Lorraine,
,assets\audio\ch25-christmas\55-mab_decoration.mp3,,decoration,xʷʊčtən,Mabel,
,assets\audio\ch25-christmas\51-k_we are going to decorate.mp3,,we are going to decorate,xʷʊčʔɛstəm,Keeks,
,assets\audio\ch25-christmas\54-k_our little tree.mp3,,our little tree,təms ǰɛʔǰɩǰɛʔ,Keeks,
,assets\audio\ch25-christmas\57-k_decoration.mp3,,decoration,xʷʊčtən,Keeks,
,assets\audio\ch25-christmas\60-k_we made.mp3,,we made,hiʔamoɬst,Keeks,
,assets\audio\ch25-christmas\63-k_star.mp3,,star,kʷusən,Keeks,
,assets\audio\ch25-christmas\65-l_beautiful.mp3,,beautiful,ʔaǰumɩš,Lorraine,
,assets\audio\ch25-christmas\66-k_beautiful.mp3,,beautiful,ʔaǰumɩš,Keeks,
,assets\audio\ch25-christmas\68-l_we are ready.mp3,,we are ready,st kʷ hoǰɩt,Lorraine,
,assets\audio\ch25-christmas\69-k_we are ready.mp3,,we are ready,st kʷ hoǰɩt,Keeks,
,assets\audio\ch25-christmas\71-l_ready.mp3,,ready,hoǰɩt,Lorraine,
,assets\audio\ch25-christmas\72-k_ready.mp3,,ready,hoǰɩt,Keeks,
,assets\audio\ch25-christmas\73-mab_Christmas.mp3,,Christmas,kɩsməs,Mabel,
,assets\audio\ch25-christmas\74-l_Christmas.mp3,,Christmas,kɩsməs,Lorraine,
,assets\audio\ch25-christmas\75-k_Christmas.mp3,,Christmas,kɩsməs,Keeks,
,assets\audio\ch25-christmas\76-mab_thats when Jesus was born.mp3,,thats when Jesus was born,ʔɛʔanaʔos šišəklɛ,Mabel,
,assets\audio\ch25-christmas\77-l_thats when Jesus was born.mp3,,thats when Jesus was born,ʔɛʔanaʔos šišəklɛ,Lorraine,
,assets\audio\ch25-christmas\78-k_thats when Jesus was born.mp3,,thats when Jesus was born,ʔɛʔanaʔos šišəklɛ,Keeks,
,assets\audio\ch25-christmas\79-mab_Jesus.mp3,,Jesus,šišəklɛ,Mabel,
,assets\audio\ch25-christmas\80-l_Jesus.mp3,,Jesus,šišəklɛ,Lorraine,
,assets\audio\ch25-christmas\81-k_Jesus.mp3,,Jesus,šišəklɛ,Keeks,
