type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
c,https://www.youtube.com/watch?v=LcDSvFf78pY,,,,,Listen to the story.
n,,,,,,"People like to tell stories. Stories are used to communicate personal memories, or whatever they want to say. Stories can be traditional or personal, or made up."
p,https://fv-media-uploads.s3.amazonaws.com/homalco/c79da81c-19c9-455f-8818-a0333e17e686/tell%20me%20a%20story%20mp3%20.mp3,,Tell me a story,qʷaqʷθost ga,Speaker A,Now practice this key phrase.
n,,,,,,"Cool job"
r,https://fv-media-uploads.s3.amazonaws.com/homalco/c79da81c-19c9-455f-8818-a0333e17e686/tell%20me%20a%20story%20mp3%20.mp3,,Tell me a story,qʷaqʷθost ga,Speaker A,Now practice this key phrase.

