type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
,assets\audio\ch7-outside\come-mab.mp3,,come,,Mabel,
,assets\audio\ch7-outside\come-lor.mp3,,come,,Lorraine,
,assets\audio\ch7-outside\come-law.mp3,,come,,Lawrence,
,assets\audio\ch7-outside\be inside-mab.mp3,,be inside,,Mabel,
,assets\audio\ch7-outside\be inside-lor.mp3,,be inside,,Lorraine,
,assets\audio\ch7-outside\be inside-law.mp3,,be inside,,Lawrence,
,assets\audio\ch7-outside\outside-mab.mp3,,outside,,Mabel,
,assets\audio\ch7-outside\outside-lor.mp3,,outside,,Lorraine,
,assets\audio\ch7-outside\outside-law.mp3,,outside,,Lawrence,
,assets\audio\ch7-outside\good-mab.mp3,,good,,Mabel,
,assets\audio\ch7-outside\good-lor.mp3,,good,,Lorraine,
,assets\audio\ch7-outside\good-law.mp3,,good,,Lawrence,
,assets\audio\ch7-outside\yes-mab.mp3,,yes,,Mabel,
,assets\audio\ch7-outside\yes-lor.mp3,,yes,,Lorraine,
,assets\audio\ch7-outside\yes-law-3.mp3,,yes,,Lawrence,
,assets\audio\ch7-outside\it is-mab.mp3,,it is,,Mabel,
,assets\audio\ch7-outside\it is-lor.mp3,,it is,,Lorraine,
,assets\audio\ch7-outside\it is-law.mp3,,it is,,Lawrence,
,assets\audio\ch7-outside\look at-mab.mp3,,look at,,Mabel,
,assets\audio\ch7-outside\go ahead-mab.mp3,,go ahead,,Mabel,
,assets\audio\ch7-outside\go ahead-lor.mp3,,go ahead,,Lorraine,
,assets\audio\ch7-outside\do it-mab.mp3,,do it,,Mabel,
,assets\audio\ch7-outside\to sit-lor.mp3,,to sit,,Lorraine,
,assets\audio\ch7-outside\that would be-mab.mp3,,that would be,,Mabel,
,assets\audio\ch7-outside\that would be-lor.mp3,,that would be,,Lorraine,
,assets\audio\ch7-outside\that would be-law.mp3,,that would be,,Lawrence,
,assets\audio\ch7-outside\very good-mab.mp3,,very good,,Mabel,
,assets\audio\ch7-outside\very good-lor.mp3,,very good,,Lorraine,
,assets\audio\ch7-outside\very good-law.mp3,,very good,,Lawrence,
,assets\audio\ch7-outside\hot-law.mp3,,hot,,Lawrence,
,assets\audio\ch7-outside\become warm-lor.mp3,,become warm,,Lorraine,
