type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
,assets\audio\ch4-seeyou\It will be tomorrow-mab.mp3,,It will be tomorrow,,Mabel,
,assets\audio\ch4-seeyou\It will be tomorrow-lor.mp3,,It will be tomorrow,,Lorraine,
,assets\audio\ch4-seeyou\It will be tomorrow-law.mp3,,It will be tomorrow,,Lawrence,
,assets\audio\ch4-seeyou\I went to play with him-mab.mp3,,I went to play with him,,Mabel,
,assets\audio\ch4-seeyou\I went to play with him-lor.mp3,,I went to play with him,,Lorraine,
,assets\audio\ch4-seeyou\I went to play with him-law.mp3,,I went to play with him,,Lawrence,
,assets\audio\ch4-seeyou\play with them-mab.mp3,,play with them,,Mabel,
,assets\audio\ch4-seeyou\play with them-lor.mp3,,play with them,,Lorraine,
,assets\audio\ch4-seeyou\play with them-law.mp3,,play with them,,Lawrence,
,assets\audio\ch4-seeyou\talk to you-mab.mp3,,talk to you,,Mabel,
,assets\audio\ch4-seeyou\talk to you-lor.mp3,,talk to you,,Lorraine,
,assets\audio\ch4-seeyou\talk to you-law.mp3,,talk to you,,Lawrence,
,assets\audio\ch4-seeyou\talk-mab.mp3,,talk,,Mabel,
,assets\audio\ch4-seeyou\talk-lor.mp3,,talk,,Lorraine,
,assets\audio\ch4-seeyou\talk-law.mp3,,talk,,Lawrence,
,assets\audio\ch4-seeyou\tomorrow-mab.mp3,,tomorrow,,Mabel,
,assets\audio\ch4-seeyou\tomorrow-lor.mp3,,tomorrow,,Lorraine,
,assets\audio\ch4-seeyou\tomorrow-law.mp3,,tomorrow,,Lawrence,
