type,audio_url,image_url,english,ayajuthem,speaker,narrator_text
,assets\audio\ch3-breakfast\no_mab.mp3,,no,,Mabel,
,assets\audio\ch3-breakfast\no_mab-2.mp3,,no,,Mabel,
,assets\audio\ch3-breakfast\pancakes-mab.mp3,,pancakes,,Mabel,
,assets\audio\ch3-breakfast\pancakes-mab-2.mp3,,pancakes,,Mabel,
,assets\audio\ch3-breakfast\porridge-mab.mp3,,porridge,,Mabel,
,assets\audio\ch3-breakfast\porridge-mab-2.mp3,,porridge,,Mabel,
,assets\audio\ch3-breakfast\ready-law.mp3,,ready,,Lawrence,
,assets\audio\ch3-breakfast\ready-lor.mp3,,ready,,Lorraine,
,assets\audio\ch3-breakfast\ready-mab.mp3,,ready,,Mabel,
,assets\audio\ch3-breakfast\tea_mab.mp3,,tea,,Mabel,
,assets\audio\ch3-breakfast\tea_mab-2.mp3,,tea,,Mabel,
,assets\audio\ch3-breakfast\tea-law.mp3,,tea,,Lawrence,
,assets\audio\ch3-breakfast\tea-lor.mp3,,tea,,Lorraine,
,assets\audio\ch3-breakfast\tea-mab.mp3,,tea,,Mabel,
,assets\audio\ch3-breakfast\to drink-law.mp3,,to drink,,Lawrence,
,assets\audio\ch3-breakfast\to drink-lor.mp3,,to drink,,Lorraine,
,assets\audio\ch3-breakfast\to drink-mab.mp3,,to drink,,Mabel,
,assets\audio\ch3-breakfast\want-law.mp3,,want,,Lawrence,
,assets\audio\ch3-breakfast\want-lor.mp3,,want,,Lorraine,
,assets\audio\ch3-breakfast\want-mab.mp3,,want,,Mabel,
,assets\audio\ch3-breakfast\what are you going to drink_-mab.mp3,,what are you going to drink?,,Mabel,
,assets\audio\ch3-breakfast\what are you going to drink_-mab-2.mp3,,what are you going to drink?,,Mabel,
,assets\audio\ch3-breakfast\you eat-law.mp3,,you eat,,Lawrence,
,assets\audio\ch3-breakfast\you eat-lor.mp3,,you eat,,Lorraine,
,assets\audio\ch3-breakfast\you eat-mab.mp3,,you eat,,Mabel,
,assets\audio\ch3-breakfast\you have to wait _mab.mp3,,you have to wait,,Mabel,
,assets\audio\ch3-breakfast\you have to wait _mab-2.mp3,,you have to wait,,Mabel,
